工具	aahw
已经	nnxc
发出	ntbm
发布	ntdm
发达	ntdp
发动	ntfc
发表	ntge
属于	ntgf
发现	ntgm
发展	ntna
必然	ntqd
性质	ntrf
必要	ntsv
发生	nttg
性命	ntwg
改为	ntyl
飞行	nutf
以及	nyey
以下	nygh
心理	nygj
以来	nygo
以上	nyhh
心里	nyjf
心中	nykh
以后	nyrg
心想	nysh
以前	nyue
发言人	nyww
以为	nyyl
业务	ogtl
数学	ovip
数量	ovjg
数据	ovrn
家里	pejf
农民	pena
农业	peog
完成	pfdn
完全	pfwg
军队	plbw
军事	plgk
军国主义	plyy
官员	pnkm
实实在在	ppdd
之一	ppgg
之下	ppgh
之中	ppkh
之外	ppqh
之后	pprg
之前	ppue
之间	ppuj
之所以	prny
实际	pubf
实在	pudh
实现	pugm
实力	pult
实行	putf
安全	pvwg
空中	pwkh
空军	pwpl
空间	pwuj
社会主义	pwyy
它们	pxwu
社区	pyaq
社会	pywf
然而	qddm
然后	qdrg
希望	qdyn
解决	qeun
解放	qeyt
外国	qhlg
外交	qhuq
名字	qkpb
名称	qktq
多少	qqit
多数	qqov
多年	qqrh
多种	qqtk
多次	qquq
儿子	qtbb
多种多样	qtqs
外交部	quuk
手工业	raog
报道	rbut
反对	rccf
反应	rcyi
所在地	rdfb
质量	rfjg
后面	rgdm
后来	rggo
接下来	rggo
皇上	rghh
看上去	rhfc
看到	rhgc
看来	rhgo
年轻	rhlc
看见	rhmq
看看	rhrh
看着	rhud
年间	rhuj
年代	rhwa
提出	rjbm
提高	rjym
年轻人	rlww
制定	rmpg
制造	rmtf
制作	rmwt
制度	rmya
所有	rnde
所以	rnny
近年来	rrgo
打开	rsga
手里	rtjf
手中	rtkh
手机	rtsm
手段	rtwd
接着	ruud
所作所为	rwry
指出	rxbm
权力	sclt
可能性	scnt
权利	sctj
西南	sgfm
想不到	sggc
本来	sggo
本报	sgrb
本身	sgtm
西部	sguk
西北	sgux
本级	sgxe
西方	sgyy
相对	shcf
想起	shfh
想到	shgc
相当	shiv
相同	shmg
相关	shud
相信	shwy
相比	shxx
相应	shyi
可能	skce
可是	skjg
可以	skny
机场	smfn
机制	smrm
机关	smud
机会	smwf
构成	sqdn
可想而知	ssdt
李自成	stdn
样子	subb
校名	suqk
要求	svfi
根本	svsg
机会主义	swyy
想方设法	syyi
长期	taad
长江	taia
长安	tapv
知道	tdut
造成	tfdn
行动	tffc
先进	tffj
行政	tfgh
德国	tflg
行业	tfog
先后	tfrg
等等	tftf
先生	tftg
行使	tfwg
自动化	tfwx
行为	tfyl
行政区	tgaq
重大	tgdd
生于	tggf
重点	tghk
物理学	tgip
生活	tgit
重要	tgsv
生长	tgta
生物	tgtr
第一次	tguq
重新	tgus
生产	tgut
生命	tgwg
处于	thgf
处理	thgj
自由	thmh
自己	thnn
自然	thqd
怎么	thtc
自身	thtm
自治区	tiaq
科学院	tibp
科学家	tipe
利用	tjet
得到	tjgc
各地	tkfb
和平	tkgu
各国	tklg
种类	tkod
委员长	tkta
各自	tkth
各种	tktk
委员会	tkwf
各个	tkwh
各级	tkxe
程度	tkya
自力更生	tlgt
身子	tmbb
身上	tmhh
身边	tmlp
自由自在	tmtd
身体	tmws
自由主义	tmyy
管理	tpgj
称之为	tpyl
自然而然	tqdq
称为	tqyl
特点	trhk
特别	trkl
我国	trlg
特色	trqc
物质	trrf
我们	trwu
自行车	ttlg
科学	tuip
生产力	tult
科技	turf
很大	tvdd
委员	tvkm
很多	tvqq
第三	txdg
第二	txfg
每天	txgd
第一	txgg
每年	txrh
每个	txwh
系统	txxy
长方形	tyga
关于	udgf
意大利	udtj
关系	udtx
前面	uedm
美元	ugfq
美国	uglg
美军	ugpl
立法权	uisc
意见	ujmq
意义	ujyq
部队	ukbw
总理	ukgj
总是	ukjg
问题	ukjg
部长	ukta
问道	ukut
部门	ukuy
部分	ukwv
总统	ukxy
商业	umog
决定	unpg
决议	unyy
产业化	uowx
交通	uqce
交流	uqiy
将军	uqpl
资金	uqqq
资本	uqsg
资本家	uspe
亲自	usth
资本主义	usyy
首都	utft
产量	utjg
道路	utkh
产品	utkk
产业	utog
首先	uttf
产生	uttg
总产量	uujg
立即	uuvc
总经理	uxgj
北平	uxgu
北部	uxuk
北京	uxyi
北京城	uyfd
北京市	uyym
好像	vbwq
她们	vbwu
努力	vclt
即使	vcwg
建成	vfdn
那些	vfhx
那时	vfjf
那里	vfjf
那样	vfsu
那么	vftc
那种	vftk
建立	vfuu
那个	vfwh
建设	vfym
建议	vfyy
如此	vkhx
如果	vkjs
如何	vkws
如今	vkwy
女子	vvbb
女性	vvnt
女儿	vvqt
女人	vvww
代表	wage
创新	wbus
他们	wbwu
公共	wcaw
公布	wcdm
公元	wcfq
公开	wcga
公里	wcjf
公路	wckh
公民	wcna
公司	wcng
什么	wftc
会议	wfyy
全面	wgdm
使用	wget
全省	wgit
全国	wglg
全部	wguk
全体	wgws
合作	wgwt
全市	wgym
个人	whww
但是	wjjg
全心全意	wnwu
你们	wqwu
体现	wsgm
体制	wsrm
体系	wstx
体育	wsyc
任期	wtad
作出	wtbm
作用	wtet
作战	wthk
作品	wtkk
公务员	wtkm
任务	wttl
任何	wtws
作为	wtyl
位于	wugf
人道主义	wuyy
分子	wvbb
分布	wvdm
分别	wvkl
分为	wvyl
健康	wvyv
人大	wwdd
从而	wwdm
人士	wwfg
人才	wwft
从事	wwgk
从此	wwhx
人口	wwkk
人员	wwkm
人民	wwna
人类	wwod
人数	wwov
人家	wwpe
众多	wwqq
人生	wwtg
人物	wwtr
人们	wwwu
众人	wwww
化学	wxip
今天	wygd
今日	wyjj
集中	wykh
领导	wynf
今年	wyrh
令人	wyww
经历	xcdl
经过	xcfp
经常	xcip
经济	xciy
组成	xedn
结果	xfjs
结合	xfwg
统治者	xift
经济学	xiip
比利时	xtjf
比如	xxvk
统一	xygg
统治	xyic
统计	xyyf
说不定	ygpg
主持	ygrf
主要	ygsv
主任	ygwt
主张	ygxt
应用	yiet
应当	yiiv
就是	yijg
就业	yiog
为了	ylbn
为主	ylyg
市场	ymfn
高速	ymgk
高中	ymkh
市长	ymta
设立	ymuu
高级	ymxe
高度	ymya
设计	ymyf
记者	ynft
变成	yodn
变得	yotj
变化	yowx
这些	yphx
这时	ypjf
这里	ypjf
这样	ypsu
这么	yptc
这种	yptk
这次	ypuq
这个	ypwh
这件	ypwr
这位	ypwu
主持人	yrww
放在	ytdh
许多	ytqq
说明	yuje
说道	yuut
说话	yuyt
为什么	ywtc
认为	ywyl
方式	yyaa
广东	yyai
广大	yydd
方面	yydm
广场	yyfn
方法	yyif
文学	yyip
文明	yyje
这就是说	yyjy
文字	yypb
方向	yytm
文物	yytr
文件	yywr
文化	yywx
